avgdelay,category,year
8.52,Apr,2007
7.04,May,2007
16.18,Jun,2007
14.11,Jul,2007
12.57,Aug,2007
3.75,Sep,2007
6.51,Oct,2007
4.79,Nov,2007
16.21,Dec,2007
10.19,Jan,2008
13.08,Feb,2008
11.19,Mar,2008
6.81,Apr,2008
5.98,May,2008
13.27,Jun,2008
9.98,Jul,2008
6.91,Aug,2008
0.7,Sep,2008
0.42,Oct,2008
2.02,Nov,2008
16.68,Dec,2008
9.42,Mon,1987
11.5,Tue,1987
11.23,Wed,1987
9.76,Thu,1987
8.79,Fri,1987
5.93,Sat,1987
9.15,Sun,1987
6.78,Mon,1988
6.71,Tue,1988
7.39,Wed,1988
8.18,Thu,1988
7.71,Fri,1988
4.07,Sat,1988
4.7,Sun,1988
6.68,Mon,1989
9.16,Tue,1989
10.05,Wed,1989
10.43,Thu,1989
10.22,Fri,1989
5.86,Sat,1989
6.11,Sun,1989
4.83,Mon,1990
5.38,Tue,1990
5.94,Wed,1990
9.97,Thu,1990
11.17,Fri,1990
5.24,Sat,1990
4.97,Sun,1990
3.39,Mon,1991
4.17,Tue,1991
5.38,Wed,1991
6.02,Thu,1991
6.79,Fri,1991
3.19,Sat,1991
4.03,Sun,1991
3.54,Mon,1992
4.71,Tue,1992
5.42,Wed,1992
7.1,Thu,1992
6.57,Fri,1992
2.7,Sat,1992
3.8,Sun,1992
5.09,Mon,1993
4.75,Tue,1993
6.19,Wed,1993
6.39,Thu,1993
6.7,Fri,1993
3.11,Sat,1993
4.9,Sun,1993
5.26,Mon,1994
4.74,Tue,1994
6.98,Wed,1994
7.65,Thu,1994
7.35,Fri,1994
3.14,Sat,1994
4.29,Sun,1994
5.91,Mon,1995
6.38,Tue,1995
8.1,Wed,1995
8.47,Thu,1995
8.86,Fri,1995
5.32,Sat,1995
5.91,Sun,1995
9.12,Mon,1996
9.09,Tue,1996
9.69,Wed,1996
11.63,Thu,1996
12.95,Fri,1996
6.86,Sat,1996
8.07,Sun,1996
6.05,Mon,1997
5.55,Tue,1997
7.9,Wed,1997
9.29,Thu,1997
10.69,Fri,1997
5.41,Sat,1997
7.34,Sun,1997
7.32,Mon,1998
7.48,Tue,1998
7.6,Wed,1998
9.6,Thu,1998
10.09,Fri,1998
3.57,Sat,1998
6.95,Sun,1998
7.98,Mon,1999
6.62,Tue,1999
8.0,Wed,1999
10.02,Thu,1999
11.39,Fri,1999
5.35,Sat,1999
7.96,Sun,1999
9.2,Mon,2000
7.57,Tue,2000
9.55,Wed,2000
13.26,Thu,2000
15.52,Fri,2000
